Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,SNO
2025-11-14,0002.HK,68.30000305175781,68.80000305175781,68.30000305175781,68.80000305175781,68.80000305175781,3059234,0.0,0.0,67.93375429853323,67.12953139004851,66.45204176092781,66.1519053246307,65.74530251827629,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-17,0002.HK,68.9000015258789,69.0999984741211,68.75,69.0,69.0,4152546,0.0,0.0,68.12761715334537,67.29218083439213,66.55196169187182,66.20830323899445,65.77123636275218,True,True,HH,HHHLHL,68.30000305175781,2025-11-24,68.69999694824219,2025-11-25,68.30000305175781,66.25,65.6500015258789,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-18,0002.HK,69.0,69.05000305175781,68.44999694824219,68.75,68.75,3370797,0.0,0.0,68.24077767091893,67.41894771835803,66.63815927258274,66.25863386792525,65.79497153117647,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-19,0002.HK,69.0,69.0,68.30000305175781,68.69999694824219,68.69999694824219,3698136,0.0,0.0,68.32427208497771,67.53034330356535,66.71901565202037,66.30697769129786,65.81811914406146,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,2.HK
2025-11-14,0006.HK,51.45000076293945,51.75,51.25,51.75,51.75,1908513,0.0,0.0,51.07187547646663,50.634651123689,50.51331129661126,50.596267989334535,50.20963643317808,False,True,HH,HHHLLH,51.25,2025-11-18,51.400001525878906,2025-11-25,51.54999923706055,49.220001220703125,49.09999847412109,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-17,0006.HK,51.45000076293945,51.79999923706055,51.29999923706055,51.59999847412109,51.59999847412109,2529964,0.0,0.0,51.16789783967653,50.71859437155266,50.55592648004302,50.61614384051843,50.22071501517762,False,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-18,0006.HK,51.54999923706055,51.650001525878906,51.25,51.34999847412109,51.34999847412109,2038160,0.0,0.0,51.20100704593917,50.77349907612384,50.58706655824216,50.63067561544126,50.22971328975088,False,True,HL,HLLHHL,51.54999923706055,2025-11-25,51.400001525878906,2025-11-26,51.29999923706055,49.220001220703125,49.09999847412109,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-19,0006.HK,51.34999847412109,51.54999923706055,51.29999923706055,51.400001525878906,51.400001525878906,1529835,0.0,0.0,51.23718786047367,50.82797755001558,50.61894636089458,50.64590979188557,50.23903829561643,False,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,6.HK
2025-11-14,0941.HK,87.5,87.69999694824219,87.25,87.5,87.5,14294890,0.0,0.0,87.40033927057954,86.67788005692988,86.33149856520112,85.94656502176532,82.72456579956341,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-17,0941.HK,87.3499984741211,87.5,86.55000305175781,86.75,86.75,15518851,0.0,0.0,87.28209576683778,86.68415135632728,86.34791038617362,85.96247462529472,82.75664097247525,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-18,0941.HK,86.5,86.80000305175781,86.0999984741211,86.80000305175781,86.80000305175781,13656501,0.0,0.0,87.19444254591414,86.6942254167995,86.36563951031418,85.97905934661081,82.78885899701136,True,True,HL,HLHLHL,86.3499984741211,2025-11-25,86.3499984741211,2025-11-26,86.3499984741211,85.19999694824219,84.5,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
2025-11-19,0941.HK,87.0,87.1500015258789,86.3499984741211,86.3499984741211,86.3499984741211,14579374,0.0,0.0,87.04090726013358,86.6642926391753,86.36502613634582,85.98640467586844,82.81723461037478,True,True,,,0.0,,0.0,,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0,0,False,True,941.HK
